GW_ID,lon,lat
0,12.471173000000002,41.89527799999999
1,12.468083,41.892211999999994
2,12.490399,41.911377
3,12.489025999999999,41.925172
4,12.494863,41.89451199999999
5,12.497266,41.88761099999999
6,12.508252,41.89323400000001
7,12.512029,41.886589
8,12.506879000000001,41.907032999999984
9,12.476323,41.879687999999994
10,12.488683000000002,41.87329699999999
11,12.494176000000001,41.865882
12,12.531255,41.868695
13,12.465679999999999,41.91572000000001
14,12.458814,41.88301
15,12.523358,41.88198800000001
16,12.528165000000001,41.91291
17,12.537091000000002,41.9009
18,12.544988,41.88684400000001
19,12.488683000000002,41.850796
20,12.5666173,41.9116961
21,12.5755437,41.9336647
22,12.6479848,41.93979409999999
23,12.6229223,41.92574669999999
24,12.578977,41.83679299999999
25,12.6493581,41.8360256
26,12.6170858,41.8383277
27,12.4512609,41.82758379999999
28,12.433751400000002,41.8099292
29,12.349294,41.81299989999999
30,12.3170217,41.803787299999996
31,12.3650869,41.829630399999985
32,12.3781331,41.865435300000016
33,12.3922094,41.8876753
34,12.4100622,41.906586100000006
35,12.3523839,41.92191499999999
36,12.400792400000002,41.9405602
37,12.413152100000001,41.95077449999999
38,12.474606800000002,41.950519099999994
39,12.5374349,41.9709428
40,12.5377782,41.9612424
41,12.5521978,41.96302940000001
42,12.4615606,41.8603215
43,12.6706441,41.821443599999995
44,12.4852498,41.8370488
45,12.437528,41.936218700000005
46,12.457784,41.93621869999999
47,12.5055059,41.8421644
48,12.418645200000002,41.9101632
49,12.5010427,41.79994839999999
